,Name,Date,Quantity
0,PEPETRATION,2016-09-28 04:44:46,16.0
1,PEPETRATION,2016-09-28 04:23:27,241.0
2,PEPETRATION,2016-09-28 04:08:06,643.0
3,NOFAPPEPE,2017-09-07 09:11:06,1.0
4,NOFAPPEPE,2017-08-30 20:48:47,1.0
5,NOFAPPEPE,2017-08-28 00:34:41,1.0
6,NOFAPPEPE,2017-07-26 12:45:22,1.0
7,PEPEBEEFTAXI,2017-05-22 00:45:43,1.0
8,STILLPEPE,2016-10-16 21:07:30,1.0
9,PEPELIBRARY,2021-08-30 21:15:18,69.0
10,HARAMPEPE,2016-10-15 15:42:31,1.0
11,BOMINABLPEPE,2017-07-08 07:11:01,10.0
12,MOBBPEPE,2018-10-06 18:38:02,1.0
13,PEPEGIGA,2021-09-02 01:12:37,50.0
14,SEVENBITPEPE,2016-10-26 22:05:11,3.0
15,SEVENBITPEPE,2016-10-20 21:21:17,7.0
16,BURNINGPEPE,2017-05-10 05:47:30,1.0
17,FIREASSPEPE,2017-02-26 01:09:55,50.0
18,PEPETRADER,2016-10-23 13:44:57,1.0
19,PEPETRADER,2016-10-21 12:37:10,1.0
20,PEPETRADER,2016-10-20 12:16:23,10.0
21,FRACTALPEPE,2018-10-12 06:37:13,1.0
22,PEPERARE,2016-10-24 14:17:36,70.0
23,RELAXPEPE,2016-11-08 18:54:50,9.0
24,RELAXPEPE,2016-11-08 16:13:06,22.0
25,RELAXPEPE,2016-11-08 14:47:56,20.0
26,MATADORPEPE,2016-11-16 22:32:23,40.0
27,HARRYPEPES,2018-10-25 18:12:53,1.0
28,VOLDEPEPE,2018-10-25 18:12:53,1.0
29,BLAINEPEPE,2017-01-07 08:02:23,75.0
30,PEPEBRICK,2017-01-05 07:58:12,16.0
31,PEPEBRICK,2017-01-02 21:15:32,20.0
32,PEPEBRICK,2016-12-31 13:38:28,25.0
33,PROOFOFPEPE,2016-12-25 00:50:24,50.0
34,TAJPEPE,2016-12-28 17:30:27,40.0
35,PEPECONF,2018-10-25 18:12:53,1.0
36,KEKUI,2017-05-08 22:57:02,1.0
37,KEKUI,2017-05-08 21:47:48,174.0
38,PEPESMALLS,2017-03-09 16:36:19,2.0
39,PEPESMALLS,2017-03-09 14:58:53,50.0
40,PEPEENEUMAN,2017-02-15 18:27:35,9.0
41,COLDPEPE,2017-02-19 18:42:01,250.0
42,TREEOFPEPE,2017-02-26 01:09:55,100.0
43,PEPEJOBS,2017-02-23 20:45:33,50.0
44,RAGZTOPEPE,2021-07-20 11:11:59,1.0
45,GODDESSHEQET,2017-05-08 21:30:12,95.0
46,SALVADORPEPE,2017-03-09 18:20:54,43.0
47,PSYCHEPEPE,2021-09-22 18:05:35,370.0
48,GODDESSISIS,2017-05-08 21:39:01,96.0
49,PEPENORMIES,2017-03-24 18:19:46,71.0
50,NEEDPEPE,2017-02-26 06:58:47,10.0
51,PEPEVIRAL,2018-10-06 18:38:02,1.0
52,RESERVPEPES,2017-03-05 06:01:45,1.0
53,BOGDAPEPE,2021-09-23 06:47:51,1.0
54,GODAMUNRA,2017-05-08 21:39:01,98.0
55,GODANUBIS,2017-05-08 21:39:01,96.0
56,LEGENDOFPEPE,2017-03-08 01:06:02,11.0
57,RAREDIETIES,2017-03-05 07:40:05,0.0
58,RAREDIETIES,2017-03-05 04:36:52,7.0
59,PEPETOWN,2017-03-05 06:01:45,1.0
60,RAREWOLFPEPE,2017-03-18 02:14:56,7.0
61,CLCKWRKGREEN,2017-03-14 17:58:15,1.0
62,KEKRELOADED,2017-03-28 19:01:39,70.0
63,RARELORDKEK,2017-03-23 00:40:52,7.0
64,GODALIEN,2017-05-08 21:30:12,99.0
65,ERISPEPE,2017-05-03 16:03:03,4.0
66,JIHANWU,2021-07-16 13:07:19,1.0
67,PEPENOFF,2021-09-23 06:47:51,1.0
68,FEELSGOODMAN,2021-10-05 19:55:52,400.0
69,MELANCOLIE,2017-07-07 04:17:14,132.0
70,ROOMRAREPEPE,2017-07-02 21:12:00,23.0
71,KABUKIPEPE,2021-09-02 10:15:25,10.0
72,BUBREAKUP,2021-07-16 13:07:19,1.0
73,PEPENCEPTION,2021-07-16 13:07:19,1.0
74,PEPETIA,2021-12-11 11:55:53,31.0
75,DANNIBOIPEPE,2021-11-04 04:41:33,1.0
76,PEPEGIGGITY,2017-09-07 00:44:51,100.0
77,PEPEFALLOUT,2017-11-01 20:35:50,44.0
78,MCGREGOR,2021-07-16 13:07:19,1.0
79,BAGHOLDRPEPE,2021-08-18 11:08:56,1.0
80,MAYWEATHPEPE,2021-07-16 13:07:19,1.0
81,PEPEACIDTRIP,2017-08-19 15:21:49,250.0
82,RABBIPEPE,2021-04-08 11:17:16,90.0
83,OPTIMUSPEPE,2017-08-17 07:09:37,1.0
84,OPTIMUSPEPE,2017-08-14 00:38:56,20.0
85,OPTIMUSPEPE,2017-08-10 10:06:06,20.0
86,TAKAKO,2021-07-16 13:07:19,1.0
87,TUPACPEP,2021-09-15 16:39:46,200.0
88,HAIKUPEPE,2021-09-02 10:15:25,10.0
89,PEPEDIRECTOR,2017-08-29 03:49:43,45.0
90,PEPEDIRECTOR,2017-08-28 00:17:48,45.0
91,YAMAPEPE,2018-03-09 07:28:00,83.0
92,THEPEPENATOR,2021-09-13 23:51:14,225.0
93,PEPESINCITY,2017-08-26 22:59:49,124.0
94,PEPELMINING,2017-08-22 03:40:49,27.0
95,BEATLESPEPE,2021-09-15 16:56:07,50.0
96,KITANO,2021-07-16 13:07:19,1.0
97,THEKINGPEPE,2021-09-15 16:39:46,100.0
98,PEPERONCINO,2021-09-02 10:15:25,10.0
99,KEKLORDGABEN,2017-09-09 11:40:48,101.0
100,VANILLAPEPE,2021-09-15 16:56:07,75.0
101,PEPEAKIBA,2018-03-04 03:24:13,1.0
102,CACTUSPEPE,2018-10-06 18:38:02,1.0
103,CACTUSPEPE,2018-02-08 07:15:01,996.0
104,POWH,2018-02-01 14:30:27,250.0
105,ROCKETPEPE,2018-04-24 14:45:36,100.0
106,ROCKETPEPE,2018-02-06 22:30:16,1.0
107,PEPEANGEL,2018-01-31 15:08:56,99.0
108,HORRORCOIN,2018-02-04 13:52:45,50.0
109,FLAMINPEPE,2018-03-20 03:29:06,30.0
110,PEPEROOTS,2018-04-24 14:46:28,100.0
111,TRAININGT,2018-02-11 15:10:12,93.0
112,SALVATORPEPE,2018-02-11 16:18:37,55.0
113,HUCKAPEPE,2018-04-24 14:45:36,100.0
114,SAKURAPENPEN,2018-03-05 15:12:30,88.0
115,BREITBARTPEP,2018-03-13 04:39:00,7.0
116,GIANCARLO,2021-07-16 13:07:19,1.0
117,OMEGAPEPE,2018-04-24 14:46:28,50.0
