Name,Type,Date,Date_Index,Supply,Price in USD,Quantity,Gini,Top_3,Top_5,Top_10,Series
MOONPEPESUN,give,2022-06-16 03:29:57,2022-06,100.0,129.72,1.0,0.538,0.52,0.61,0.71,36.0
PEPENAUT,get,2022-06-15 15:32:12,2022-06,100.0,276.0,1.0,0.554,0.44,0.63,0.76,35.0
JALAPEPE,get,2022-06-13 03:11:13,2022-06,100.0,496.8,1.0,0.32,0.26,0.33,0.44,3.0
PEPELAMA,get,2022-06-02 21:58:22,2022-06,100.0,273.23999999999995,1.0,0.561,0.76,0.85,0.96,20.0
PEPEJOSE,get,2022-05-24 20:43:13,2022-05,100.0,138.0,1.0,0.533,0.49,0.57,0.69,6.0
PEPEUBU,get,2022-05-24 12:12:01,2022-05,100.0,204.24,1.0,1.124,0.92,1.0,1.13,34.0
DIAMONDSPEPE,get,2022-05-24 12:12:01,2022-05,100.0,248.4,1.0,0.583,0.62,0.75,0.83,32.0
BLINGBLING,give,2022-05-17 06:09:45,2022-05,100.0,397.44,1.0,0.676,0.75,0.87,0.95,27.0
PAWNTHELAMBO,give,2022-05-12 12:16:52,2022-05,100.0,151.79999999999998,1.0,0.5,0.53,0.59,0.71,27.0
CREMAPEPE,get,2022-05-11 22:08:14,2022-05,100.0,207.0,1.0,0.391,0.25,0.37,0.55,26.0
CREMAPEPE,dispenser,2022-05-11 19:40:28,2022-05,100.0,198.02677997,1.0,0.396,0.25,0.37,0.56,26.0
PEPA,give,2022-05-08 01:31:52,2022-05,100.0,552.0,1.0,0.607,0.62,0.7,0.78,7.0
PEPEPEACE,get,2022-05-07 18:40:25,2022-05,100.0,345.0,1.0,0.606,0.6,0.64,0.74,30.0
PEPEKEN,dispenser,2022-05-07 10:22:05,2022-05,100.0,374.051,1.0,0.416,0.35,0.45,0.58,5.0
CANTDRAWPEPE,give,2022-04-25 13:40:01,2022-04,100.0,207.0,1.0,0.462,0.32,0.46,0.64,16.0
PEPEFALLOUT,give,2022-04-25 13:26:05,2022-04,56.0,612.7199999999999,1.0,0.237,0.25,0.3392857142857143,0.4821428571428571,22.0
PEPEHEFNER,give,2022-04-25 10:11:59,2022-04,100.0,69.02759999999999,1.0,0.738,0.9,1.02,1.12,30.0
UKIPEPE,give,2022-04-21 05:50:43,2022-04,100.0,57.96,1.0,0.395,0.35,0.44,0.57,9.0
PEPEGIANT,dispenser,2022-04-14 16:22:43,2022-04,100.0,550.075,1.0,0.404,0.29,0.42,0.67,36.0
PEPELAMA,dispenser,2022-04-10 19:20:02,2022-04,100.0,257.43510000000003,1.0,0.567,0.77,0.86,0.97,20.0
PEPETAR,get,2022-04-06 23:24:03,2022-04,100.0,193.2,1.0,0.591,0.57,0.66,0.77,34.0
MONALISAPEPE,get,2022-04-06 23:06:39,2022-04,100.0,1159.1999999999998,1.0,0.211,0.17,0.22,0.32,4.0
BARBARIANPEP,give,2022-04-03 13:52:40,2022-04,100.0,151.79999999999998,1.0,1.301,1.01,1.15,1.32,32.0
FREETIBETPP,get,2022-04-02 06:14:08,2022-04,100.0,207.0,2.0,0.551,0.68,0.76,0.89,27.0
SHIALEBPEPE,get,2022-04-01 14:04:43,2022-04,100.0,160.07999999999998,1.0,0.312,0.21,0.29,0.44,13.0
PEPECLOCK,give,2022-03-31 17:30:08,2022-03,100.0,245.64,1.0,0.371,0.27,0.37,0.5,31.0
FREETIBETPP,get,2022-03-31 06:06:10,2022-03,100.0,193.2,1.0,0.556,0.7,0.78,0.9,27.0
BARBARIANPEP,get,2022-03-30 07:59:04,2022-03,100.0,124.2,1.0,1.306,1.01,1.16,1.33,32.0
DIAMONDSPEPE,get,2022-03-29 16:39:00,2022-03,100.0,220.8,1.0,0.596,0.64,0.77,0.85,32.0
PEPEASSANGE,give,2022-03-28 15:08:43,2022-03,100.0,218.04,1.0,0.464,0.45,0.51,0.63,6.0
PEPELAMA,dispenser,2022-03-28 12:11:24,2022-03,100.0,572.078,1.0,0.573,0.77,0.86,0.97,20.0
PEPESPINNER,get,2022-03-27 15:20:28,2022-03,100.0,276.0,1.0,0.517,0.4,0.55,0.73,24.0
PEPEHEFNER,get,2022-03-27 13:40:05,2022-03,100.0,276.0,1.0,0.742,0.93,0.98,1.04,30.0
SALTANDPEPE,get,2022-03-27 09:25:07,2022-03,100.0,414.0,1.0,0.611,0.65,0.71,0.76,3.0
RAOULDUKEPEP,get,2022-03-27 05:33:57,2022-03,100.0,549.24,1.0,0.586,0.64,0.72,0.81,33.0
PEPEHEFNER,get,2022-03-26 20:49:12,2022-03,100.0,276.0,1.0,0.721,0.79,0.9,0.95,30.0
PEPEHEFNER,get,2022-03-25 19:53:27,2022-03,100.0,276.0,1.0,0.725,0.8,0.9,0.95,30.0
PEPEHEFNER,get,2022-03-25 12:18:44,2022-03,100.0,276.0,1.0,0.759,0.9,0.92,0.97,30.0
PEPEHEFNER,get,2022-03-24 04:21:06,2022-03,100.0,276.0,1.0,0.762,0.9,0.93,0.98,30.0
SECURITYPEPE,get,2022-03-24 03:22:10,2022-03,100.0,919.08,1.0,0.306,0.21,0.3,0.43,7.0
INCREDIEPEPE,give,2022-03-24 02:40:44,2022-03,100.0,427.8,1.0,0.637,0.7,0.74,0.81,3.0
PEPEVOLUTION,get,2022-03-23 22:20:34,2022-03,100.0,414.0,1.0,0.417,0.26,0.38,0.61,18.0
LISKPPAPPEPE,get,2022-03-23 13:19:46,2022-03,100.0,165.6,1.0,0.419,0.45,0.49,0.57,6.0
PEPEHEFNER,get,2022-03-23 12:56:42,2022-03,100.0,276.0,1.0,0.763,0.91,0.94,0.99,30.0
PAWNTHELAMBO,get,2022-03-22 16:42:09,2022-03,100.0,165.6,1.0,0.506,0.53,0.59,0.71,27.0
PEPEHEFNER,get,2022-03-22 09:52:55,2022-03,100.0,276.0,1.0,0.763,0.92,0.95,1.0,30.0
CYBERPEP,get,2022-03-22 09:52:55,2022-03,100.0,248.4,1.0,0.659,0.69,0.83,0.88,34.0
PEPEHEFNER,get,2022-03-21 02:51:47,2022-03,100.0,276.0,1.0,0.761,0.93,0.96,1.01,30.0
HYPNOPEPE,give,2022-03-21 00:15:16,2022-03,100.0,441.6,1.0,0.266,0.25,0.32,0.42,4.0
PUREPEPE,get,2022-03-19 23:16:35,2022-03,100.0,306.36,1.0,0.393,0.29,0.36,0.48,18.0
PEPEASSANGE,get,2022-03-19 19:29:36,2022-03,100.0,919.08,1.0,0.475,0.46,0.52,0.65,6.0
PEPEHEFNER,get,2022-03-19 08:38:31,2022-03,100.0,275.99724,1.0,0.766,0.94,0.96,1.01,30.0
PEPEHEFNER,get,2022-03-19 00:06:39,2022-03,100.0,276.0,1.0,0.753,0.94,0.96,1.0,30.0
PEPEHEFNER,give,2022-03-18 22:56:30,2022-03,100.0,276.0,1.0,0.743,0.95,0.97,1.0,30.0
PAWNTHELAMBO,get,2022-03-18 19:58:50,2022-03,100.0,138.0,1.0,0.513,0.54,0.6,0.72,27.0
