Name,gini
BABERUTHPEPE,0.63
BACHELORPEPE,0.107
BADASSPEPE,0.583
BADHAIRDAY,0.772
BADWISHES,0.608
BAGHOLDRPEPE,0.608
BANDAGEDPEPE,0.75
BANEPEPE,0.798
BAPEPE,0.062
BARBARIANPEP,0.465
BARBARICPEPE,0.653
BARRYPEPE,0.135
BATMANNPEPE,0.627
BATMANPEPE,0.23
BATTLEPEPE,0.818
BBAEPEPE,0.714
BBOYPEPE,0.603
BCCPEPE,0.666
BEACHPEPE,0.653
BEATLESPEPE,0.584
BEATPEPE,0.822
BEAUTYPEPE,0.882
BEETLEPEPE,0.43
BEHAPPYPEPE,0.433
BENDERPEPE,0.407
BERLINPEPE,0.712
BETTYPEPE,0.659
BEWPEPE,0.932
BIGVERNPEPE,0.558
BILLNTEDPEPE,0.802
BINARYPEPE,0.0
BITCOINPEPE,0.349
BLAINEPEPE,0.193
BLINGBLING,0.6
BLKCHNJESUS,0.833
BLOCKPEPE,0.88
BLOWPEPE,0.861
BODYBACKPEPE,0.49
BOFPEPE,0.536
BOGDAPEPE,0.727
BOMINABLPEPE,0.0
BONDPEPE,0.545
BOWIEPEP,0.75
BOWLPEPE,0.367
BOYSCLUBPEPE,0.165
BREATHEDPEPE,0.358
BREITBARTPEP,0.72
BRIGHTONPEPE,0.841
BTCPEPE,0.409
BTTLFTHESUBS,0.876
BUBREAKUP,0.764
BULBAPEPECRD,0.839
BULLYPEPE,0.828
BUPEPE,0.839
BURNINGPEPE,0.88
CALLHOTPEPE,0.899
CALMHODLPEPE,0.889
CANNEDPEPE,0.303
CANNONPEPE,0.427
CANTDRAWPEPE,0.466
CAPEPELE,0.777
CARLOSPEPE,0.865
CARTOONPEPE,0.513
CEETHREEPEPE,0.924
CERSEIPEPE,0.623
CHECKPEPE,0.751
CHEECHPEPE,0.324
CHERPEPEFOIL,0.566
CHERRYONTOP,0.59
CHIKUNPEPE,0.389
CHINAPEPE,0.034
CHOCOPEPE,0.801
CHONGPEPE,0.376
CHUWAPEPE,0.703
CHYNAPEPE,0.226
CICACOINPEPE,0.609
CINEKEK,0.769
CIRCLEOFPEPE,0.497
CLAYPEPE,0.538
CLCKWRKGREEN,0.655
CLOWNPEPE,0.772
CLUBSPEPE,0.528
CNPEPE,0.884
CNTRFLDPEPE,0.824
COBAINPEPE,0.265
COINEATER,0.931
COLDPEPE,0.192
COMEDYPEPE,0.664
CONFUSEDPEPE,0.921
CONSPIRATARD,0.828
COVPEPERARE,0.618
CPTMRICAPEPE,0.366
CREMAPEPE,0.354
CREWLOVEPEPE,0.658
CRIMINALPEPE,0.426
CROPPEPE,0.741
CRYPTOPEPES,0.598
CRYSTALPEPE,0.625
CUBANPEPE,0.762
CUBEPEPE,0.548
CUBISTPEPE,0.618
CULTOFKEK,0.442
CUPIDPEPE,0.733
CYBERPEP,0.654
CYBERPEPE,0.688
DALIPEPE,0.791
DANKPEPE,0.562
DANKVADER,0.756
DANNIBOIPEPE,0.83
DANPEPERIAN,0.252
DAOPEPEHACK,0.877
DAPPERPEPE,0.277
DARKPILLPEPE,0.068
DARKSIDEPEPE,0.804
DASHPEPE,0.082
DATPEPE,0.516
DAWNOTHEPEPE,0.491
DDDPEPE,0.847
DECENTRAPEPE,0.791
DEEPWEBPEPE,0.875
DEEZPEPENUTS,0.659
DEGENERPEPE,0.582
DELUXEPEPEHD,0.431
DEUSEXPEPE,0.331
DEXTERPEPE,0.102
DIAMONDSPEPE,0.562
DIAVOLO,0.935
DIERCHANCHU,0.422
DJPEPE,0.131
DOGEVSPEPE,0.718
DOGGYPUTIN,0.0
DOGSALL,0.142
DOMPEPENON,0.535
DORAETROLL,0.294
DOSPEPES,0.642
DOTPEPE,0.818
DOUBLEPEPE,0.495
DRAGONKEK,0.845
DRATHPEPE,0.619
DRDIRTYPEPE,0.873
DRILLPEPE,0.904
DROPPEPE,0.885
DRSTRNGEPEPE,0.839
DUMBLEPEPE,0.61
DUMMIES,0.919
EATEPEPE,0.779
EAZYP,0.603
ECLIPTICPEPE,0.709
EGGPLANTMKNY,0.855
EGGPLANTPEPE,0.789
EINSTEINPEPE,0.367
EMBRYOPEPE,0.865
EMPERORPEPE,0.582
ENDRACISMPE,0.768
ENGELPEPE,0.302
ENGLISHPEPE,0.562
ENTERTHEPEPE,0.654
ERDOPEPEGAN,0.746
ERISPEPE,0.687
EXCLUPEPE,0.587
EYEOFTHEPEPE,0.0
FAIRYCASH,0.892
FASHIONPEP,0.44
FATPEPE,0.798
FATPEPSLIM,0.847
FEATHERSPEPE,0.657
FEELSPEPE,0.766
FFFFFFFFFFFF,0.75
FIGHTPEPE,0.701
FIGHTSYSTEM,0.82
FILEONPEPE,0.414
FINNTHEPEPE,0.581
FIREASSPEPE,0.207
FLAMINPEPE,0.827
FLAPPYPEPE,0.895
FLUFFYPEPES,0.459
FOLDERPEPE,0.48
FORBIDENPEPE,0.795
FORKPEPE,0.705
FORTYTWOPEPE,0.552
FRACTALPEPE,0.259
FREEMYPEPE,0.382
FREETIBETPP,0.506
FRENCHPEPE,0.717
FRIENDSPEPE,0.874
FROGBUS,0.697
FRYPEPE,0.63
FSBPUTINPEPE,0.0
FUJINPEPE,0.718
FULLMETALPEP,0.654
FUNPEPE,0.792
FUTURESPEPE,0.614
GADGETPEPE,0.488
GADSDENPEPE,0.788
GAINSPEPE,0.68
GAIUSPEPEUS,0.642
GAMABUNTA,0.766
GAMBITPEPE,0.623
GAMEOFPEPE,0.719
GAUDISPEPE,0.743
GENIEPEPE,0.581
GENPEPE,0.595
GETPEPEFREE,0.809
GIANCARLO,0.757
GNITEPEPE,0.663
GODEMPEPE,0.619
GOKUPEPE,0.936
GOLDGODPEPE,0.87
GOSPELPEPE,0.583
GOTHICPEPE,0.753
GRAFFITIPEPE,0.772
GRANDPEPE,0.722
GRANDPEPES,0.696
GREEDYPEPES,0.742
GRIMPEPE,0.229
GRNDMSTRPEPE,0.747
GROYAPEPE,0.657
GROYLEX,0.541
GROYPAUCTION,0.676
GROYPERDB,0.776
GROYPERMONKY,0.87
GROYPMAN,0.768
GTAPEP,0.534
GUARDSASKIAN,0.797
GUNSNPEPES,0.437
GURUPEPE,0.605
GUYBRUSH,0.697
HAIRPEPE,0.713
HANPEPE,0.571
HANSEIPEPE,0.686
HAPPYRAINY,0.582
HARAMPEPE,0.774
HARDPEPEFORK,0.735
HARRYPEPES,0.589
HEARTSPEPE,0.584
HEISENPEPE,0.723
HEKET,0.72
HELOPEPE,0.593
HERNIAPEPE,0.144
HILLARYPEPE,0.668
HINAMATSURI,0.649
HIPPIEPEPE,0.328
HISTORICPEPE,0.584
HLYPEPANCAKE,0.834
HODLERPEPE,0.701
HODLPEPECASH,0.61
HODLWOOD,0.689
HOLYPEPE,0.829
HOODEDPEPE,0.445
HUCKAPEPE,0.441
HULAPEPE,0.861
HULKPEPE,0.378
HUMBLEPEPE,0.619
HYPNOPEPE,0.25
HYPNOTIST,0.8
ICPEPE,0.795
ILLIDANPEPE,0.597
ILLUMINATIPE,0.0
ILOVEPEPE,0.802
ILUMINATRARE,0.422
IMWITHPEPE,0.575
INCREDIEPEPE,0.668
INDIANAPEPE,0.653
IRONMANPEPE,0.396
IRONPEPE,0.339
ISEEYOUPEPE,0.8
ISOPEPE,0.598
ITPEPE,0.664
IWANTTOPEPE,0.855
JACKOPEPE,0.464
JACKPOTPEPE,0.621
JAKETHEPEPE,0.52
JALAPEPE,0.317
JANDPEPE,0.733
JAPANESEPEPE,0.61
JESUSPEPE,0.089
JIHANWU,0.509
JINQIANSHU,0.665
JMPEPEKEYNES,0.73
JOELOONEYBIN,0.562
JOJOXPEPE,0.834
JOKERPEPEKEK,0.812
JOLIELEGPEPE,0.461
JONGPEPE,0.0
JONSNOWPEPE,0.582
JORDANPEPE,0.603
JUDYPEPE,0.552
JUNSETHPEPE,0.548
JURASSICKEK,0.866
KAMIKAZEPEPE,0.592
KANDINSKYPEP,0.408
KAPPAPEPE,0.702
KARTANDPEPE,0.656
KATPEPA,0.593
KEISERPEPE,0.741
KEKALITY,0.361
KEKANC,0.796
KEKENESIS,0.691
KEKET,0.422
KEKEVOLUTION,0.859
KEKFURY,0.776
KEKKETY,0.834
KEKLORDGABEN,0.496
KEKMONTECRLO,0.683
KEKOFWAR,0.929
KEKOGGS,0.637
KEKPEPE,0.669
KEKRESURRECT,0.887
KEKSBASILISK,0.824
KEKTOPUS,0.671
KEKUIT,0.716
KEKVSMOLOCH,0.911
KEROPEPE,0.792
KEYBOARDPEPE,0.827
KFPEPE,0.542
KICKPEPE,0.79
KIGURUMIPEPE,0.73
KILLARYPEPE,0.379
KINGRINGPEPE,0.731
KINGYOPEPE,0.715
KITANO,0.739
KNITTEDPEPE,0.503
KOIPEPE,0.683
KOJIPEPE,0.417
KRUEGERPEPE,0.734
KUMADORIPEPE,0.746
KUNAIKEK,0.809
KUNGFUPEPE,0.628
KUNISADAPEPE,0.8
LAUTRECPEPE,0.804
LEDZEPEPELIN,0.657
LEGENDOFPEPE,0.749
LEGOPEPE,0.91
LEIAORGAPEPE,0.486
LEIAPEPE,0.766
LEOPEPESCAM,0.862
LEPEWPEPE,0.763
LETSTALKKEK,0.926
LEVELUPPEPE,0.841
LIAMPEPE,0.291
LIBERPEPE,0.648
LIGHTITON,0.248
LIKEPEPEBRO,0.288
LILROCKETMAN,0.806
LILUPEPE,0.703
LISKPPAPPEPE,0.415
LITTLEBOPEPE,0.785
LITTLEGREEN,0.915
LIZZFACEPEPE,0.773
LONELYPEPE,0.661
LONGNOSEPEPE,0.757
LORDGLEN,0.422
LORDOFMEMES,0.677
LORDSHIVA,0.406
LOVEPEPETATO,0.502
LOWRIDERPEPE,0.52
LUCHAPEPE,0.637
LUKEJRPEPE,0.892
LUPEPEN,0.386
MADARAPEPE,0.926
MADMAXPEPE,0.698
MAGICPEPEYE,0.786
MANDARAPEPE,0.699
MANDELPEPE,0.747
MAOISMPEPE,0.778
MAOPEPE,0.795
MAPEPENEMR,0.805
MARGINED,0.724
MARINEPEINE,0.782
MARSPEPE,0.797
MARTYPEPFLY,0.715
MARVINPEPE,0.27
MASTEROFPEPE,0.678
MASTERSPEPE,0.792
MATADORPEPE,0.794
MATISSEPEPE,0.797
MATRYOSHKAPP,0.82
MATSURIPEPE,0.631
MAUIPEPE,0.863
MAXPEPE,0.649
MAYWEATHPEPE,0.673
MCGREGOR,0.647
MCGROYPER,0.77
MCPEPE,0.621
MCPEPEDEBUFF,0.504
MEGAPEPEMAN,0.925
MELANCHOLIA,0.518
MELANCOLIE,0.772
MEMEFIGHTERS,0.864
MEMETICMAGIC,0.682
MEMPOOLPEPE,0.829
MERKLETREEPE,0.717
MFPEPE,0.49
MIDIPEPE,0.79
MIKOPEPE,0.712
MILLIONAIRPP,0.729
MINDPEPEHOFF,0.858
MIRACLEPEPE,0.816
MIROPEPE,0.8
MISSTURNPEPE,0.635
MOAIPEPE,0.898
MOBBPEPE,0.895
MODERNPEPE,0.648
MODIPEPE,0.67
MONALISAPEPE,0.173
MONBOURARNO,0.469
MONEYPEPE,0.766
MONOPEPEOLY,0.805
MONSTERPEPE,0.689
MONTYPEPE,0.526
MOONPEPE,0.49
MOONPEPESUN,0.536
MOONWAVEPEPE,0.595
MORPHEUSPEPE,0.103
MRHANSEL,0.704
MRPOTATOPEPE,0.458
MRSTAYPEPT,0.735
MTPEPEMORE,0.503
MUNETOPEPE,0.927
MUPEPETS,0.329
