,Name,gini
0,PEPEBEEFTAXI,0.451
1,STILLPEPE,0.42
2,ONLYONEPEPE,0.0
3,JONGPEPE,0.0
4,DASHPEPE,0.162
5,PEPEPOPE,0.079
6,DARKPILLPEPE,0.068
7,FORTYTWOPEPE,0.552
8,CHERPEPEFOIL,0.566
9,PEPEVIAGRA,0.117
10,PEPELLUM,0.707
11,LOVEPEPETATO,0.495
12,PEPEGUN,0.522
13,TROUTPEPE,0.428
14,HERNIAPEPE,0.144
15,PEPEKACHU,0.126
16,PEPEMINING,0.666
17,RAREPEPE,0.299
18,HARDPEPEFORK,0.735
19,XOBLORTPEPE,0.626
20,MAGICPEPEYE,0.788
21,TRUMPRARE,0.505
22,DANKPEPE,0.563
23,PEPEBROS,0.794
24,IMWITHPEPE,0.577
25,PEPELIBRARY,0.419
26,WINKELPEPE,0.0
27,HARAMPEPE,0.774
28,HOMERPEPE,0.0
29,PEPEPIZZA,0.0
30,CLUBPEPE,0.0
31,GRIMPEPE,0.229
32,ILLUMINATIPE,0.0
33,BINARYPEPE,0.0
34,TIMETRAVELPP,0.0
35,RICKANDPEPE,0.45
36,SELLOUTPEPE,0.0
37,EYEOFTHEPEPE,0.0
38,HORRORPEPE,0.467
39,BARRYPEPE,0.135
40,BACHELORPEPE,0.107
41,PEPEPOWERONE,0.171
42,PEPEPOWERTWO,0.146
43,PEPEBREEDER,0.175
44,RARECOINMEME,0.062
45,MORPHEUSPEPE,0.103
46,PEPECASTRO,0.474
47,ZEROWINGPEPE,0.112
48,PEPEROSS,0.132
49,DEXTERPEPE,0.102
50,PEPELEPEW,0.41
51,SONICPEPE,0.507
52,WEAREALLPEPE,0.295
53,PEPECRYSTAL,0.626
54,THEARCHIPEPE,0.433
55,PHEONIXPEPE,0.399
56,TRIPPYPEPE,0.757
57,LIAMPEPE,0.294
58,JUNSETHPEPE,0.548
59,RARECHAVEZ,0.749
60,BIGVERNPEPE,0.56
61,ZETAPEPE,0.435
62,ETHERPEPE,0.814
63,OPPPEPE,0.479
64,THOTHPEPE,0.64
65,HILLARYPEPE,0.672
66,PEPEGATES,0.858
67,GADSDENPEPE,0.791
68,BOMINABLPEPE,0.0
69,REDPUTINPEPE,0.0
70,MYLITTLEPEPE,0.0
71,PEPEBUGGED,0.0
72,PEPENOPOULOS,0.0
73,RICFLAIRPEPE,0.167
74,PEPEALASSAD,0.0
75,PEPEMILLION,0.0
76,ZZTOPEPE,0.0
77,PUTINPEPE,0.0
78,DOGGYPUTIN,0.0
79,NOFUCKSPUTIN,0.0
80,FSBPUTINPEPE,0.0
81,TENPINPUTIN,0.0
82,JESUSPEPE,0.089
83,SANDWICHPEPE,0.204
84,TECHNOPEPE,0.317
85,BAPEPE,0.062
86,TSUPEPE,0.229
87,SMUGGLASSES,0.193
88,MARVINPEPE,0.27
89,PEPECOUNTER,0.227
90,EINSTEINPEPE,0.368
91,TUXPEPE,0.673
92,PEPEGOAT,0.352
93,PTSDPEPE,0.806
94,REPOPEPE,0.593
95,PEPEKONGBIGM,0.6
96,CIRCLEOFPEPE,0.497
97,JALAPEPE,0.314
98,PEPEPHONEHOM,0.401
99,PRIVATEPEPE,0.652
100,INCREDIEPEPE,0.668
101,DRATHPEPE,0.615
102,SALTANDPEPE,0.626
103,PEPERMIND,0.406
104,RPEPEARMANDO,0.697
105,NEONPEPE,0.474
106,MOONPEPE,0.499
107,CHYNAPEPE,0.228
108,RAREPEPESS,0.476
109,RAIRPEPE,0.611
110,MOBBPEPE,0.895
111,LEANPEPE,0.0
112,UNLUCKYPEPE,0.915
113,WOLONGPEPE,0.596
114,PEPEDARK,0.605
115,MONALISAPEPE,0.158
116,PEPEBURGUNDY,0.41
117,GADGETPEPE,0.488
118,HYPNOPEPE,0.25
