Name,gini
BBOYPEPE,0.603
BEETLEPEPE,0.43
BLOCKPEPE,0.88
DJPEPE,0.131
EMPERORPEPE,0.582
GADGETPEPE,0.488
HANPEPE,0.571
HYPNOPEPE,0.25
KILLARYPEPE,0.379
MARINEPEINE,0.782
MCPEPE,0.621
MISSTURNPEPE,0.635
MOBBPEPE,0.895
MONALISAPEPE,0.173
NICOSARKOS,0.79
PEPEBURGUNDY,0.41
PEPEDANCE,0.616
PEPEDARK,0.586
PEPEFETT,0.585
PEPEINSHADES,0.794
PEPEONE,0.652
PEPESUS,0.75
PEPEVIDEODRO,0.621
PRINCESSPEPE,0.607
RAREPEPESHOW,0.768
RERERPERP,0.286
SADMILKPEPE,0.576
SALTYTADPEPE,0.777
STRIPERPEPE,0.805
UNLUCKYPEPE,0.917
WOLONGPEPE,0.596
ZIKAPEPE,0.585
