Date_Index,Price_Level
2016-09,5921.0658827692305
2016-10,30684.9088492961
2016-11,32415.709048351448
2016-12,41611.899974613305
2017-01,70224.59110007435
2017-02,97599.24228246753
2017-03,117837.3444538961
2017-04,134541.4348538961
2017-05,139141.3428538202
2017-06,145608.0228538202
2017-07,180436.12329025974
2017-08,180964.26900454544
2017-09,182149.20025316544
2017-10,183068.14225316545
2017-11,181115.44225316544
2017-12,184468.84225316544
2018-01,185592.00355316544
2018-02,181792.40355316544
2018-03,183374.69928588544
2018-04,187300.83240588545
2018-05,187041.22067316546
2018-06,187296.52067316545
2018-07,186520.95791316545
2018-08,186566.95791316545
2018-09,186566.95791316545
2018-10,186415.15791316546
2018-11,186415.15791316546
2018-12,186415.15791316546
2019-01,186415.15791316546
2019-02,186277.15791316546
2019-03,186139.15791316546
2019-04,186960.25791316546
2019-05,190224.41791316544
2019-06,190089.17791316545
2019-07,194505.17791316545
2019-08,194505.17791316545
2019-09,194505.17791316545
2019-10,194505.17791316545
2019-11,194505.17791316545
2019-12,194505.17791316545
2020-01,194505.17791316545
2020-02,194505.17791316545
2020-03,194505.17791316545
2020-04,194505.17791316545
2020-05,195057.17791316545
2020-06,195057.17791316545
2020-07,195057.17791316545
2020-08,199197.17791454546
2020-09,199197.17791454546
2020-10,198783.17791454546
2020-11,205229.26041554546
2020-12,205229.26041554546
2021-01,205229.26041554546
2021-02,213918.52041554544
2021-03,761311.7862906455
2021-04,921658.2180835621
2021-05,1159060.770183562
2021-06,1335765.696206362
2021-07,2205765.5201518787
2021-08,6401624.254088407
2021-09,11676124.743334755
2021-10,12067466.614584122
2021-11,14882229.071371306
2021-12,14899965.772476885
2022-01,16306920.647823876
2022-02,16550397.657450244
2022-03,15735684.835554142
2022-04,15733288.384039719
2022-05,15798960.027248744
2022-06,15819952.517248744
