Date_Index,Unnamed: 0,Price_Level
2016-09,9880923,191.05585814567473
2016-10,9881430,694.6667912494452
2016-11,9881937,802.1751932113621
2016-12,9882444,1042.1943842187509
2017-01,9882951,1673.972568625065
2017-02,9883458,2657.701393659577
2017-03,9883965,3246.5502396577194
2017-04,9884472,3578.799899718297
2017-05,9884979,3825.6933750565636
2017-06,9885486,4070.4415278279416
2017-07,9885993,5914.9802761519295
2017-08,9886500,5797.676390437644
2017-09,9887007,5668.452363766443
2017-10,9887514,5670.463803766444
2017-11,9888021,5549.956923766444
2017-12,9888528,5739.403110424044
2018-01,9889035,5745.938454424044
2018-02,9889542,5582.38032109071
2018-03,9890049,5676.32346952911
2018-04,9890556,5771.10219592911
2018-05,9891063,5769.4955674907105
2018-06,9891570,5768.47556749071
2018-07,9892077,5764.16434029071
2018-08,9892584,5766.657673624044
2018-09,9893091,5766.657673624044
2018-10,9893598,5765.161673624044
2018-11,9894105,5766.975006957377
2018-12,9894612,5771.055006957377
2019-01,9895119,5771.055006957377
2019-02,9895626,5766.975006957377
2019-03,9896133,5749.023006957377
2019-04,9896640,5776.671806957377
2019-05,9897147,5813.40994029071
2019-06,9897654,5814.79714031791
2019-07,9898161,5858.31714031791
2019-08,9898668,6414.947006957377
2019-09,9899175,6436.163006957378
2019-10,9899682,6452.483006957377
2019-11,9900189,6534.001262417377
2019-12,9900696,6534.001262417377
2020-01,9901203,6577.521262417377
2020-02,9901710,6603.266062417377
2020-03,9902217,6605.986062417377
2020-04,9902724,6829.764462417377
2020-05,9903231,6835.204462417377
2020-06,9903738,6835.204462417377
2020-07,9904245,6848.804462417377
2020-08,9904752,6889.604462430977
2020-09,9905259,16883.504462430978
2020-10,9905766,16899.824462430977
2020-11,9906273,17031.724171560974
2020-12,9906780,17031.724171560978
2021-01,9907287,17089.136855930978
2021-02,9907794,17189.220655930978
2021-03,9908301,23672.864576166037
2021-04,9908808,32009.337400765064
2021-05,9909315,43201.47184515813
2021-06,9909822,44735.9122195967
2021-07,9910329,73005.05719828473
2021-08,9910836,198221.12057059933
2021-09,9911343,296678.28044667427
2021-10,9911850,332902.8639856662
2021-11,9912357,448544.8526799858
2021-12,9912864,448171.3742965599
2022-01,9913371,480829.29009848577
2022-02,9913878,482221.27384210855
2022-03,9914385,477344.6270362649
2022-04,9914892,478582.0287274607
2022-05,9915399,480094.21976504114
